,CaseID,Event,Date,timestamp,type,sensor
0,1,1,01.10.21,2021-10-01T08:30:00.000000000,FloorSensor,T10_Bed
1,1,2,01.10.21,2021-10-01T08:30:01.500000000,FloorSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
2,1,3,01.10.21,2021-10-01T08:30:03.914213562,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
3,1,4,01.10.21,2021-10-01T08:30:05.121320343,PresenceSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
4,1,27,01.10.21,2021-10-01T08:36:40.506096649,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
5,1,280,01.10.21,2021-10-01T09:21:52.796464538,PresenceSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
6,1,281,01.10.21,2021-10-01T09:21:56.417784881,FloorSensor,T10_Bed
7,1,333,01.10.21,2021-10-01T09:26:20.488852691,PresenceSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
8,1,335,01.10.21,2021-10-01T09:34:07.938600158,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
9,2,525,02.10.21,2021-10-02T08:30:00.000000000,FloorSensor,T10_Bed
10,2,526,02.10.21,2021-10-02T08:30:01.500000000,FloorSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
11,2,597,02.10.21,2021-10-02T08:40:51.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
12,2,859,02.10.21,2021-10-02T09:24:25.518289947,PresenceSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
13,2,862,02.10.21,2021-10-02T09:33:36.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
14,2,1004,02.10.21,2021-10-02T09:41:23.417784881,FloorSensor,T10_Bed
15,2,1005,02.10.21,2021-10-02T09:41:29.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
16,3,1085,03.10.21,2021-10-03T08:30:00.000000000,FloorSensor,T10_Bed
17,3,1086,03.10.21,2021-10-03T08:30:01.500000000,FloorSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
18,3,1162,03.10.21,2021-10-03T08:38:50.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
19,3,1393,03.10.21,2021-10-03T09:18:47.518289947,PresenceSensor,T11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
20,3,1396,03.10.21,2021-10-03T09:25:56.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
21,3,1544,03.10.21,2021-10-03T09:34:04.417784881,FloorSensor,T10_Bed
22,3,1545,03.10.21,2021-10-03T09:34:10.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
23,4,1661,04.10.21,2021-10-04T08:30:00.000000000,FloorSensor,T10_Bed
