,CaseID,Event,Date,timestamp,type,sensor
0,1,1,01.10.21,2021-10-01T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
1,1,3,01.10.21,2021-10-01T08:30:03.914213562,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
2,1,4,01.10.21,2021-10-01T08:30:05.121320343,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
3,1,335,01.10.21,2021-10-01T09:34:07.938600158,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
4,2,525,02.10.21,2021-10-02T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
5,2,862,02.10.21,2021-10-02T09:33:36.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
6,2,1004,02.10.21,2021-10-02T09:41:23.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
7,2,1005,02.10.21,2021-10-02T09:41:29.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
8,3,1085,03.10.21,2021-10-03T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
9,3,1396,03.10.21,2021-10-03T09:25:56.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
10,3,1544,03.10.21,2021-10-03T09:34:04.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
11,3,1545,03.10.21,2021-10-03T09:34:10.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
12,4,1661,04.10.21,2021-10-04T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
13,4,1988,04.10.21,2021-10-04T09:31:29.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
14,4,2127,04.10.21,2021-10-04T09:39:10.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
15,4,2128,04.10.21,2021-10-04T09:39:16.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
16,5,2214,05.10.21,2021-10-05T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
17,5,2585,05.10.21,2021-10-05T09:37:22.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
18,5,2751,05.10.21,2021-10-05T09:46:30.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
19,5,2752,05.10.21,2021-10-05T09:46:36.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
20,6,2859,06.10.21,2021-10-06T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
21,6,3175,06.10.21,2021-10-06T09:33:53.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
22,6,3324,06.10.21,2021-10-06T09:42:06.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
23,6,3325,06.10.21,2021-10-06T09:42:12.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
24,7,3441,07.10.21,2021-10-07T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
25,7,3758,07.10.21,2021-10-07T09:28:25.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
26,7,3932,07.10.21,2021-10-07T09:38:01.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
27,7,3933,07.10.21,2021-10-07T09:38:07.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
28,8,4046,08.10.21,2021-10-08T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
29,8,4357,08.10.21,2021-10-08T09:33:37.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
30,8,4508,08.10.21,2021-10-08T09:41:55.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
31,8,4509,08.10.21,2021-10-08T09:42:01.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
32,9,4649,09.10.21,2021-10-09T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
33,9,5026,09.10.21,2021-10-09T09:39:29.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
34,9,5208,09.10.21,2021-10-09T09:49:32.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
35,9,5209,09.10.21,2021-10-09T09:49:38.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
36,10,5309,10.10.21,2021-10-10T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
37,10,5603,10.10.21,2021-10-10T09:26:31.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
38,10,5758,10.10.21,2021-10-10T09:35:04.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
39,10,5759,10.10.21,2021-10-10T09:35:10.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
40,11,5882,11.10.21,2021-10-11T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
41,11,6147,11.10.21,2021-10-11T09:21:24.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
42,11,6281,11.10.21,2021-10-11T09:28:48.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
43,11,6282,11.10.21,2021-10-11T09:28:54.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
44,12,6389,12.10.21,2021-10-12T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
45,12,6699,12.10.21,2021-10-12T09:26:20.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
46,12,6850,12.10.21,2021-10-12T09:34:41.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
47,12,6851,12.10.21,2021-10-12T09:34:47.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
48,13,6957,13.10.21,2021-10-13T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
49,13,7257,13.10.21,2021-10-13T09:29:10.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
50,13,7414,13.10.21,2021-10-13T09:37:50.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
51,13,7415,13.10.21,2021-10-13T09:37:56.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
52,14,7539,14.10.21,2021-10-14T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
53,14,7834,14.10.21,2021-10-14T09:23:24.760930633,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
54,14,8010,14.10.21,2021-10-14T09:33:07.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowT4_KitchenT3_KitchenChair1_TableT2_KitchenStove_StoveT1_StoveT5_TableDoor2_BathroomDoor1_Bedroom
55,14,8011,14.10.21,2021-10-14T09:33:13.867532348,FloorSensor,T9_BathroomT7_ClosetBed_BedWindow3_Bedroom
