,CaseID,Event,Date,timestamp,type,sensor
0,1,1,01.10.21,2021-10-01T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
1,1,3,01.10.21,2021-10-01T08:30:03.914213562,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
2,1,4,01.10.21,2021-10-01T08:30:05.121320343,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
3,1,27,01.10.21,2021-10-01T08:36:40.506096649,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
4,1,280,01.10.21,2021-10-01T09:21:52.796464538,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
5,1,335,01.10.21,2021-10-01T09:34:07.938600158,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
6,2,525,02.10.21,2021-10-02T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
7,2,597,02.10.21,2021-10-02T08:40:51.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
8,2,859,02.10.21,2021-10-02T09:24:25.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
9,2,862,02.10.21,2021-10-02T09:33:36.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
10,2,1004,02.10.21,2021-10-02T09:41:23.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
11,2,1005,02.10.21,2021-10-02T09:41:29.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
12,3,1085,03.10.21,2021-10-03T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
13,3,1162,03.10.21,2021-10-03T08:38:50.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
14,3,1393,03.10.21,2021-10-03T09:18:47.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
15,3,1396,03.10.21,2021-10-03T09:25:56.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
16,3,1544,03.10.21,2021-10-03T09:34:04.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
17,3,1545,03.10.21,2021-10-03T09:34:10.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
18,4,1661,04.10.21,2021-10-04T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
19,4,1711,04.10.21,2021-10-04T08:36:46.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
20,4,1985,04.10.21,2021-10-04T09:23:41.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
21,4,1988,04.10.21,2021-10-04T09:31:29.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
22,4,2127,04.10.21,2021-10-04T09:39:10.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
23,4,2128,04.10.21,2021-10-04T09:39:16.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
24,5,2214,05.10.21,2021-10-05T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
25,5,2292,05.10.21,2021-10-05T08:39:23.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
26,5,2582,05.10.21,2021-10-05T09:29:53.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
27,5,2585,05.10.21,2021-10-05T09:37:22.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
28,5,2751,05.10.21,2021-10-05T09:46:30.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
29,5,2752,05.10.21,2021-10-05T09:46:36.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
30,6,2859,06.10.21,2021-10-06T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
31,6,2904,06.10.21,2021-10-06T08:38:37.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
32,6,3172,06.10.21,2021-10-06T09:25:16.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
33,6,3175,06.10.21,2021-10-06T09:33:53.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
34,6,3324,06.10.21,2021-10-06T09:42:06.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
35,6,3325,06.10.21,2021-10-06T09:42:12.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
36,7,3441,07.10.21,2021-10-07T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
37,7,3507,07.10.21,2021-10-07T08:40:03.435028839,FloorSensor,T4_KitchenT1_StoveT3_KitchenChair1_TableT2_KitchenStove_StoveT5_Table
38,7,3755,07.10.21,2021-10-07T09:21:47.518289947,PresenceSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
39,7,3758,07.10.21,2021-10-07T09:28:25.760930633,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
40,7,3932,07.10.21,2021-10-07T09:38:01.417784881,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
41,7,3933,07.10.21,2021-10-07T09:38:07.867532348,FloorSensor,T9_BathroomBed_BedWindow3_BedroomT7_Closet
42,8,4046,08.10.21,2021-10-08T08:30:00.000000000,FloorSensor,T10_BedT11_BedWindow5_BedroomT8_WindowDoor2_BathroomDoor1_Bedroom
